metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
cloudsmith.storage_used,gauge,,percent,,"The percentage of storage used",0,cloudsmith,storage_used,,
cloudsmith.bandwidth_used,gauge,,percent,,"The percentage of bandwidth used",0,cloudsmith,bandwidth_used,,
cloudsmith.token_count,gauge,,item,,"The number of tokens in an organization",0,cloudsmith,token_count,,
cloudsmith.token_bandwidth_total,gauge,,byte,,"The total bandwidth used by tokens",0,cloudsmith,token_bandwidth_total,,
cloudsmith.token_download_total,gauge,,item,,"The total downloads used by tokens",0,cloudsmith,token_download_total,,
cloudsmith.storage_used_bytes,gauge,,byte,,"The amount of storage used in bytes",0,cloudsmith,storage_used_bytes,,
cloudsmith.bandwidth_used_bytes,gauge,,byte,,"The amount of bandwidth used in bytes",0,cloudsmith,bandwidth_used_bytes,,
cloudsmith.member.active,gauge,,item,,"The number of active members in the organization",0,cloudsmith,member_active_status,,user
cloudsmith.license_policy_violation.count,gauge,,item,,"The number of license policy violations",0,cloudsmith,license_policy_violation_count,,
cloudsmith.vulnerability_policy_violation.count,gauge,,item,,"The number of vulnerability policy violations",0,cloudsmith,vulnerability_policy_violation_count,,
cloudsmith.member.has_2fa.count,gauge,,item,,"The number of members with 2FA enabled",0,cloudsmith,member_2fa_enabled_count,,user
cloudsmith.member.saml.count,gauge,,item,,"The number of members who logged in with SAML",0,cloudsmith,member_saml_count,,user
cloudsmith.member.password.count,gauge,,item,,"The number of members who logged in with password",0,cloudsmith,member_password_count,,user
cloudsmith.member.owner.count,gauge,,item,,"The number of users with role 'Owner'",0,cloudsmith,member_owner_count,,user
cloudsmith.member.manager.count,gauge,,item,,"The number of users with role 'Manager'",0,cloudsmith,member_manager_count,,user
cloudsmith.member.readonly.count,gauge,,item,,"The number of users with role 'ReadOnly'",0,cloudsmith,member_readonly_count,,user
cloudsmith.member.admin.count,gauge,,item,,"The number of users with role 'Admin'",0,cloudsmith,member_admin_count,,user
cloudsmith.bandwidth_plan_limit_bytes,gauge,,byte,,"The bandwidth limit in bytes defined by the plan",0,cloudsmith,bandwidth_plan_limit_bytes,,
cloudsmith.bandwidth_plan_limit_gb,gauge,,byte,,"The bandwidth limit in gigabytes defined by the plan",0,cloudsmith,bandwidth_plan_limit_gb,,
cloudsmith.bandwidth_used_gb,gauge,,byte,,"The bandwidth used in gigabytes",0,cloudsmith,bandwidth_used_gb,,
cloudsmith.storage_plan_limit_bytes,gauge,,byte,,"The storage limit in bytes defined by the plan",0,cloudsmith,storage_plan_limit_bytes,,
cloudsmith.storage_plan_limit_gb,gauge,,byte,,"The storage limit in gigabytes defined by the plan",0,cloudsmith,storage_plan_limit_gb,,
cloudsmith.storage_used_gb,gauge,,byte,,"The storage used in gigabytes",0,cloudsmith,storage_used_gb,,
cloudsmith.storage_configured_bytes,gauge,,byte,,"The configured storage in bytes, including plan and overage",0,cloudsmith,storage_configured_bytes,,
cloudsmith.storage_configured_gb,gauge,,byte,,"The configured storage in gigabytes, including plan and overage",0,cloudsmith,storage_configured_gb,,
cloudsmith.bandwidth_configured_gb,gauge,,byte,,"The configured bandwidth in gigabytes, including plan and overage",0,cloudsmith,bandwidth_configured_gb,,
cloudsmith.bandwidth_configured_bytes,gauge,,byte,,"The configured bandwidth in bytes, including plan and overage",0,cloudsmith,bandwidth_configured_bytes,,
cloudsmith.bandwidth_bytes_interval,gauge,,byte,,"Bandwidth bytes transferred over the last analytics interval",0,cloudsmith,bandwidth_bytes_interval,,