metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
purefb.info,gauge,,,,FlashBlade system information,0,purefb,info,
purefb.hardware.health,gauge,,,,FlashBlade hardware component health status,0,purefb,hardware health,
purefb.alerts.open,gauge,,,,Open alert events,-1,purefb,alerts open,
purefb.array.performance_latency_usec,gauge,,microsecond,,FlashBlade array latency,-1,purefb,array performance latency usec,
purefb.array.performance_throughput_iops,gauge,,operation,second,FlashBlade array throughput,0,purefb,array performance throughput iops,
purefb.array.performance_bandwidth_bytes,gauge,,byte,second,FlashBlade array bandwidth,0,purefb,array performance bandwidth bytes,
purefb.array.performance_average_bytes,gauge,,byte,,FlashBlade array average operations size,0,purefb,array performance average bytes,
purefb.array.http_specific_performance_latency_usec,gauge,,microsecond,,FlashBlade array HTTP specific latency,-1,purefb,array http specific performance latency usec,
purefb.array.http_specific_performance_throughput_iops,gauge,,operation,second,FlashBlade array HTTP specific throughput,0,purefb,array http specific performance throughput iops,
purefb.array.nfs_latency_usec,gauge,,microsecond,,FlashBlade array NFS latency,-1,purefb,array nfs latency usec,
purefb.array.nfs_throughput_iops,gauge,,operation,second,FlashBlade array NFS throughput,0,purefb,array nfs throughput iops,
purefb.array.s3_specific_performance_latency_usec,gauge,,microsecond,,FlashBlade array S3 specific latency,-1,purefb,array s3 specific performance latency usec,
purefb.array.s3_specific_performance_throughput_iops,gauge,,operation,second,FlashBlade array S3 specific throughput,0,purefb,array s3 specific performance throughput iops,
purefb.array.space_data_reduction_ratio,gauge,,,,FlashBlade space data reduction,0,purefb,array space data reduction ratio,
purefb.array.space_bytes,gauge,,byte,,FlashBlade space in bytes,0,purefb,array space bytes,
purefb.array.space_parity,gauge,,,,FlashBlade space parity,0,purefb,array space parity,
purefb.buckets.performance_latency_usec,gauge,,microsecond,,FlashBlade buckets latency,-1,purefb,buckets performance latency usec,
purefb.buckets.performance_throughput_iops,gauge,,operation,second,FlashBlade buckets throughput,0,purefb,buckets performance throughput iops,
purefb.buckets.performance_bandwidth_bytes,gauge,,byte,second,FlashBlade buckets bandwidth,0,purefb,buckets performance bandwidth bytes,
purefb.buckets.performance_average_bytes,gauge,,byte,,FlashBlade buckets average operations size,0,purefb,buckets performance average bytes,
purefb.buckets.s3_specific_performance_latency_usec,gauge,,microsecond,,FlashBlade buckets S3 specific latency,-1,purefb,buckets s3 specific performance latency usec,
purefb.buckets.s3_specific_performance_throughput_iops,gauge,,operation,second,FlashBlade buckets S3 specific throughput,0,purefb,buckets s3 specific performance throughput iops,
purefb.buckets.space_data_reduction_ratio,gauge,,,,FlashBlade buckets space data reduction,0,purefb,buckets space data reduction ratio,
purefb.buckets.space_bytes,gauge,,byte,,FlashBlade buckets space in bytes,0,purefb,buckets space bytes,
purefb.buckets.space_objects,gauge,,,,FlashBlade buckets objects count,0,purefb,buckets space objects,
purefb.file.systems_performance_latency_usec,gauge,,microsecond,,FlashBlade filesystems latency,-1,purefb,file systems performance latency usec,
purefb.file.systems_performance_throughput_iops,gauge,,operation,second,FlashBlade filesystems throughput,0,purefb,file systems performance throughput iops,
purefb.file.systems_performance_bandwidth_bytes,gauge,,byte,second,FlashBlade filesystems bandwidth,0,purefb,file systems performance bandwidth bytes,
purefb.file.systems_performance_average_bytes,gauge,,byte,,FlashBlade filesystems average operations size,0,purefb,file systems performance average bytes,
purefb.file.systems_space_data_reduction_ratio,gauge,,,,FlashBlade file systems space data reduction,0,purefb,file systems space data reduction ratio,
purefb.file.systems_space_bytes,gauge,,byte,,FlashBlade file systems space in bytes,0,purefb,file systems space bytes,
purefb.bucket.replica_links_lag_msec,gauge,,millisecond,,FlashBlade bucket replica links lag,-1,purefb,bucket replica links lag msec,
purefb.file.system_links_lag_msec,gauge,,millisecond,,FlashBlade filesystem links lag,-1,purefb,file system links lag msec,
purefb.hardware.connectors_performance_bandwidth_bytes,gauge,,byte,second,FlashBlade hardware connectors performance bandwidth,0,purefb,hardware connectors performance bandwidth bytes,
purefb.hardware.connectors_performance_throughput_pkts,gauge,,,,FlashBlade hardware connectors performance throughputh,0,purefb,hardware connectors performance throughput pkts,
purefb.hardware.connectors_performance_errors,gauge,,,,FlashBlade hardware connectors performance errors per sec,0,purefb,hardware connectors performance errors,
purefb.file.system_usage_users_bytes,gauge,,byte,,FlashBlade file system users usage,0,purefb,file system usage users bytes,
purefb.file.system_usage_groups_bytes,gauge,,byte,,FlashBlade file system groups usage,0,purefb,file system usage groups bytes,
purefb.array.clients_performance_latency_usec,gauge,,microsecond,,FlashBlade array clients latency,-1,purefb,array clients performance latency usec,
purefb.array.clients_performance_throughput_iops,gauge,,operation,second,FlashBlade array clients throughput,0,purefb,array clients performance throughput iops,
purefb.array.clients_performance_bandwidth_bytes,gauge,,byte,second,FlashBlade array clients bandwidth,0,purefb,array clients performance bandwidth bytes,
purefb.array.clients_performance_avg_size_bytes,gauge,,byte,,FlashBlade array clients average operations size,0,purefb,array clients performance avg size bytes,